year,player,pos,age,team_id,g,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ws-dum,ows,dws,ws,ws_per_48,bpm-dum,obpm,dbpm,bpm,vorp
2020,Deonte Burton,SG,26,OKC,32,276,5.4,.415,.431,.118,2.5,15.5,9.2,5.7,0.9,3.1,11.5,19.4,,-0.6,0.3,-0.3,-0.056,,-5.8,-0.4,-6.2,-0.3
2020,Jimmy Butler,SF,30,MIA,50,1721,23.5,.583,.170,.678,6.3,15.3,11.0,28.2,2.4,1.7,11.6,25.5,,5.5,2.2,7.8,.217,,4.1,1.2,5.3,3.1
2020,Bruno Caboclo,SF,24,TOT,25,206,12.3,.445,.375,.069,9.8,14.7,12.3,6.5,2.7,5.9,10.8,16.8,,-0.1,0.3,0.2,.049,,-3.2,1.0,-2.2,0.0
2020,Bruno Caboclo,SF,24,MEM,22,192,11.9,.441,.362,.043,9.4,14.7,12.1,7.0,2.4,5.4,9.1,16.8,,-0.1,0.3,0.2,.046,,-3.2,0.7,-2.5,0.0
2020,Bruno Caboclo,SF,24,HOU,3,14,17.5,.515,.667,.667,14.9,14.9,14.9,0.0,6.6,12.2,34.0,17.3,,0.0,0.0,0.0,.080,,-3.2,4.6,1.4,0.0
2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,Kentavious Caldwell-Pope,SG,26,LAL,58,1477,11.7,.592,.480,.211,2.7,6.3,4.5,8.9,1.6,0.7,9.9,14.9,,1.9,1.6,3.5,.114,,-0.7,0.3,-0.3,0.6
2020,Vlatko Čančar,SF,22,DEN,12,42,12.3,.507,.400,.267,13.2,13.2,13.2,9.9,1.2,2.2,15.2,20.4,,0.0,0.0,0.1,.075,,-3.4,-1.1,-4.5,0.0
2020,Clint Capela,C,25,HOU,39,1279,20.7,.626,.000,.268,13.7,30.2,21.9,5.6,1.2,4.8,12.7,16.0,,2.9,2.1,5.1,.190,,1.2,0.4,1.6,1.2
2020,DeMarre Carroll,SF,33,TOT,18,181,5.8,.441,.525,.625,5.3,19.4,12.4,11.2,1.0,1.9,22.7,15.6,,-0.3,0.1,-0.1,-0.030,,-5.4,-1.1,-6.5,-0.2
